what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338655995767
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338655996993
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338656004951
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338656010954
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338656014129
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338656020411
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338656022352
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338656031888
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1338656251538
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1338656257605
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1338656265821
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1338656268531
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338656485535
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338656487792
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338656495950
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338656496554
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338656497102
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338656608531
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338656610488
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338656619968
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338656636630
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338656673318
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1338656673323
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1338656683939
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338656701720
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338656727898
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1338656734262
started,bundle,org.eclipse.equinox.p2.ui,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.ui",1338656734274
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20111128-0624,"org.eclipse.equinox.p2.transport.ecf",1338656734309
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1338656734336
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1338656734365
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1338656734382
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1338656734405
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1338656734407
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338656734531
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1338656749664
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.updatesite",1338656753647
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1338656765751
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1338656790254
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338656813252
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.install",1338656813271
error,log,,,"Provisioning exception",1338656821628
error,log,,,"No repository found at jar:file:/C:/Documents%20and%20Settings/Administrador/Desktop/ADT-16.0.1.zip!/.",1338656825068
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338656825098
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338656827034
error,log,,,"Provisioning exception",1338656918751
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338656918825
started,bundle,org.eclipse.equinox.p2.publisher.eclipse,1.0.0.v20110815-1438,"org.eclipse.equinox.p2.publisher.eclipse",1338656922081
error,log,,,"No repository found at jar:file:/C:/Documents%20and%20Settings/Administrador/Desktop/ADT-16.0.1.zip!/.",1338656924693
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338656935293
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.install",1338656935300
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338656941832
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338656941850
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338656941855
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338656960390
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338656969546
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338656971491
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338656973939
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338657074708
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338657076064
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338657084768
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.closeProject",1338657104383
